Date,Open,High,Low,Close,Adj Close,Volume
2020-07-07,65000.000000,65000.000000,65000.000000,65000.000000,65000.000000,45
2020-07-08,65500.000000,65500.000000,65500.000000,65500.000000,65500.000000,3261
2020-07-09,68000.000000,68000.000000,68000.000000,68000.000000,68000.000000,5
2020-07-10,65000.000000,65000.000000,65000.000000,65000.000000,65000.000000,13
2020-07-13,65000.000000,65000.000000,65000.000000,65000.000000,65000.000000,149
2020-07-14,63000.000000,63000.000000,63000.000000,63000.000000,63000.000000,145
2020-07-15,65000.000000,65000.000000,65000.000000,65000.000000,65000.000000,510
2020-07-16,65000.000000,65000.000000,65000.000000,65000.000000,65000.000000,0
2020-07-17,61000.000000,61000.000000,61000.000000,61000.000000,61000.000000,4514
2020-07-20,65000.000000,65000.000000,65000.000000,65000.000000,65000.000000,300
2020-07-21,67000.000000,67000.000000,67000.000000,67000.000000,67000.000000,229
2020-07-22,69000.000000,69000.000000,69000.000000,69000.000000,69000.000000,849
2020-07-23,72000.000000,72000.000000,72000.000000,72000.000000,72000.000000,15
2020-07-27,72000.000000,72000.000000,72000.000000,72000.000000,72000.000000,0
2020-07-28,72000.000000,72000.000000,72000.000000,72000.000000,72000.000000,41
2020-07-29,72000.000000,72000.000000,72000.000000,72000.000000,72000.000000,43
2020-07-30,77000.000000,77000.000000,77000.000000,77000.000000,77000.000000,868
2020-07-31,77100.000000,77100.000000,77100.000000,77100.000000,77100.000000,2402
2020-08-03,86995.000000,86995.000000,86995.000000,86995.000000,86995.000000,305
2020-08-04,88600.000000,88600.000000,88600.000000,88600.000000,88600.000000,61
2020-08-05,89000.000000,89000.000000,89000.000000,89000.000000,89000.000000,99
2020-08-06,89000.000000,89000.000000,89000.000000,89000.000000,89000.000000,81
2020-08-07,89000.000000,89000.000000,89000.000000,89000.000000,89000.000000,655
2020-08-10,97000.000000,97000.000000,97000.000000,97000.000000,97000.000000,1339
2020-08-11,85000.000000,85000.000000,85000.000000,85000.000000,85000.000000,229
2020-08-12,88900.000000,88900.000000,88900.000000,88900.000000,88900.000000,480
2020-08-13,89000.000000,89000.000000,89000.000000,89000.000000,89000.000000,8907
2020-08-14,89500.000000,89500.000000,89500.000000,89500.000000,89500.000000,397
2020-08-17,90000.000000,90000.000000,90000.000000,90000.000000,90000.000000,58
2020-08-18,85000.000000,85000.000000,85000.000000,85000.000000,85000.000000,953
2020-08-19,85000.000000,85000.000000,85000.000000,85000.000000,85000.000000,0
2020-08-20,93000.000000,93000.000000,93000.000000,93000.000000,93000.000000,345
2020-08-21,92999.000000,92999.000000,92999.000000,92999.000000,92999.000000,1128
2020-08-24,91999.000000,91999.000000,91999.000000,91999.000000,91999.000000,4195
2020-08-25,90000.000000,90000.000000,90000.000000,90000.000000,90000.000000,2243
2020-08-26,90000.000000,90000.000000,90000.000000,90000.000000,90000.000000,2210
2020-08-27,89900.000000,89900.000000,89900.000000,89900.000000,89900.000000,2384
2020-08-28,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,802
2020-08-31,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,524
2020-09-01,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,235
2020-09-02,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,1361
2020-09-03,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,745
2020-09-04,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,388
2020-09-07,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,387
2020-09-08,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,141
2020-09-09,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,453
2020-09-10,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,13
2020-09-11,98000.000000,98000.000000,98000.000000,98000.000000,98000.000000,461
2020-09-15,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,609
2020-09-16,94999.000000,94999.000000,94999.000000,94999.000000,94999.000000,476
2020-09-17,94500.000000,94500.000000,94500.000000,94500.000000,94500.000000,642
2020-09-18,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,10
2020-09-21,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,168
2020-09-22,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,1366
2020-09-23,94999.976563,94999.976563,94999.976563,94999.976563,94999.976563,96
2020-09-24,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,68
2020-09-25,95000.000000,95000.000000,95000.000000,95000.000000,95000.000000,1185
2020-09-28,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,75
2020-09-29,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,0
2020-09-30,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,2005
2020-10-01,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,505
2020-10-02,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,726
2020-10-05,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,6
2020-10-06,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,1915
2020-10-07,99000.000000,99000.000000,99000.000000,99000.000000,99000.000000,510
2020-10-08,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,35
2020-10-09,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,1062
