Date,Price,Open,High,Low,Vol.,Change %
2018-08-07,1.33,1.32,1.33,1.32,100.44K,2.31%
2018-08-06,1.30,1.35,1.35,1.30,117.71K,-100.00%
2018-08-03,132000.00,132000.00,135000.00,130000.00,90.41K,2.33%
2018-08-02,129000.00,130000.00,134900.00,127000.00,46.36K,2.38%
2018-08-01,126000.00,128000.00,128000.00,124900.00,1.05M,0.00%
2018-07-30,126000.00,127000.00,128000.00,120000.00,23.64K,-0.79%
2018-07-27,127000.00,130000.00,134000.00,125000.00,2.42M,-0.78%
2018-07-26,128000.00,134000.00,134000.00,128000.00,28.97K,-1.54%
2018-07-25,130000.00,130000.00,134000.00,120000.00,48.62K,-5.80%
2018-07-23,138000.00,145000.00,145000.00,130000.00,224.69K,9.52%
2018-07-20,126000.00,145000.00,145000.00,120000.00,31.73K,-13.10%
2018-07-19,145000.00,147000.00,147000.00,144990.00,6.33K,0.00%
2018-07-18,145000.00,146000.00,150000.00,145000.00,2.04M,0.00%
2018-07-17,145000.00,145000.00,147000.00,145000.00,10.79K,0.00%
2018-07-16,145000.00,138000.00,145000.00,138000.00,13.81K,-2.03%
2018-07-13,148000.00,145000.00,155000.00,140000.00,62.21K,20.33%
2018-07-12,123000.00,135000.00,150000.00,115000.00,243.25K,-1.60%
2018-07-11,125000.00,130000.00,135000.00,115000.00,82.84K,-3.85%
2018-07-10,130000.00,139000.00,139000.00,130000.00,4.04K,-8.45%
2018-07-09,142000.00,169900.00,170000.00,135000.00,33.08K,-11.25%
2018-07-06,160000.00,160000.00,170000.00,155000.00,296.77K,5.96%
2018-07-04,151000.00,150000.00,160000.00,150000.00,53.52K,6.34%
2018-07-03,142000.00,130000.00,145000.00,130000.00,79.14K,21.37%
2018-06-29,117000.00,110000.00,130000.00,110000.00,105.00K,9.35%
2018-06-28,107000.00,102000.00,110000.00,102000.00,264.73K,7.00%
2018-06-27,100000.00,97500.00,102000.00,97500.00,55.86K,6.38%
2018-06-26,94000.00,93000.00,97500.00,93000.00,31.66K,1.08%
2018-06-25,93000.00,92000.00,94500.00,92000.00,38.18K,1.09%
2018-06-22,92000.00,91000.00,94500.00,90500.00,94.15K,4.55%
2018-06-21,88000.00,90000.00,90000.00,85000.00,68.20K,-6.38%
2018-06-20,94000.00,90000.00,99000.00,90000.00,101.47K,4.44%
2018-06-19,90000.00,86000.00,97750.00,85100.00,22.88K,13.92%
2018-06-18,79000.00,76000.00,86000.00,76000.00,105.06K,8.22%
2018-06-15,73000.00,72000.00,76000.00,71900.00,78.56K,4.29%
2018-06-14,70000.00,66000.00,72000.00,66000.00,314.19K,12.90%
2018-06-13,62000.00,60000.00,66000.00,59000.00,369.59K,5.08%
2018-06-12,59000.00,60000.00,60000.00,57500.00,61.04K,-1.67%
2018-06-11,60000.00,62000.00,62000.00,60000.00,33.92K,-1.64%
2018-06-08,61000.00,61500.00,62000.00,58000.00,4.58M,1.67%
2018-06-07,60000.00,59450.00,62000.00,59000.00,334.82K,3.45%
2018-06-06,58000.00,57000.00,59000.00,56500.00,31.64K,3.57%
2018-06-05,56000.00,58990.00,58990.00,55500.00,56.56K,-5.08%
2018-06-01,59000.00,59500.00,59500.00,58000.00,334.41K,0.00%
2018-05-31,59000.00,59950.00,60000.00,58500.00,9.36K,1.72%
2018-05-30,58000.00,57500.00,60000.00,57500.00,389.57K,1.75%
2018-05-29,57000.00,56000.00,57500.00,56000.00,750.49K,3.64%
2018-05-28,55000.00,54500.00,58000.00,54000.00,75.23K,10.00%
2018-05-25,50000.00,45590.00,54500.00,45590.00,602.51K,19.05%
2018-05-24,42000.00,39000.00,45500.00,39000.00,876.96K,16.67%
2018-05-23,36000.00,35000.00,39000.00,34500.00,155.64K,5.88%
2018-05-22,34000.00,33500.00,34900.00,33000.00,33.72K,6.25%
2018-05-21,32000.00,33000.00,33500.00,30000.00,12.99K,0.00%
2018-05-18,32000.00,32000.00,32500.00,31000.00,58.06K,0.00%
2018-05-17,32000.00,31000.00,32000.00,30750.00,17.95K,0.00%
2018-05-16,32000.00,33000.00,33000.00,31000.00,14.33K,3.23%
2018-05-15,31000.00,31000.00,32000.00,30000.00,14.74K,10.71%
2018-05-11,28000.00,30000.00,30000.00,28000.00,37.88K,7.69%
2018-05-10,26000.00,25000.00,28000.00,25000.00,65.97K,0.00%
