"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2017","1,898","1,898","1,898","1,898","0.05K","25.77%"
"Dec 20, 2017","1,509","1,509","1,509","1,509","0.03K","-19.98%"
"Dec 19, 2017","1,886","1,886","1,886","1,886","0.10K","-0.16%"
"Dec 15, 2017","1,889","1,889","1,889","1,889","0.24K","0.00%"
"Dec 14, 2017","1,889","1,889","1,889","1,889","0.12K","0.74%"
"Dec 07, 2017","1,875","1,900","1,900","1,800","0.40K","-1.32%"
"Dec 06, 2017","1,900","1,900","1,900","1,900","0.02K","11.76%"
"Dec 05, 2017","1,700","1,700","1,700","1,700","4.41K","11.48%"
"Dec 04, 2017","1,525","1,500","1,700","1,500","2.28K","1.67%"
"Dec 01, 2017","1,500","1,500","1,500","1,500","0.01K","0.00%"
"Nov 30, 2017","1,500","1,500","1,500","1,500","0.19K","0.00%"
"Nov 29, 2017","1,500","1,500","1,500","1,500","1.09K","15.38%"
"Nov 24, 2017","1,300","1,300","1,300","1,300","1.70K","0.00%"
"Nov 23, 2017","1,300","1,300","1,300","1,300","0.34K","7.35%"
"Nov 20, 2017","1,211","1,101","1,300","1,101","3.50K","0.92%"
"Nov 17, 2017","1,200","1,200","1,200","1,200","0.01K","-0.17%"
"Nov 16, 2017","1,202","1,240","1,240","1,200","0.10K","-1.56%"
"Nov 15, 2017","1,221","1,240","1,240","1,200","4.18K","-1.53%"
"Nov 14, 2017","1,240","1,240","1,240","1,240","2.08K","0.00%"
"Nov 10, 2017","1,240","1,240","1,240","1,240","0.30K","-20.00%"
"Nov 08, 2017","1,550","1,550","1,550","1,550","1.45K","10.71%"
"Nov 03, 2017","1,400","1,400","1,400","1,400","1.45K","-0.21%"
"Nov 02, 2017","1,403","1,410","1,410","1,400","0.80K","-6.47%"
"Nov 01, 2017","1,500","1,500","1,500","1,500","0.19K","-0.79%"
"Oct 31, 2017","1,512","1,500","1,600","1,500","1.11K","-0.85%"
"Oct 30, 2017","1,525","1,525","1,525","1,525","1.47K","-4.69%"
"Oct 27, 2017","1,600","1,600","1,600","1,600","0.17K","-24.60%"
"Oct 26, 2017","2,122","1,650","1,650","1,550","2.12K","28.61%"
"Oct 25, 2017","1,650","1,650","1,650","1,650","0.10K","6.31%"
"Oct 24, 2017","1,552","1,599","1,599","1,360","1.18K","-5.42%"
"Oct 23, 2017","1,641","1,650","1,650","1,640","0.17K","17.21%"
"Oct 20, 2017","1,400","1,400","1,400","1,400","10.00K","-14.95%"
"Oct 19, 2017","1,646","1,650","1,650","1,599","0.69K","-0.24%"
"Oct 18, 2017","1,650","1,650","1,650","1,650","2.21K","6.45%"
"Oct 17, 2017","1,550","1,550","1,550","1,550","0.20K","0.00%"
"Oct 16, 2017","1,550","1,550","1,550","1,550","4.00K","0.26%"
"Oct 13, 2017","1,546","1,600","1,600","1,500","13.01K","-3.38%"
"Oct 11, 2017","1,600","1,600","1,600","1,600","8.00K","0.00%"
"Oct 10, 2017","1,600","1,601","1,601","1,600","1.45K","-7.51%"
"Oct 09, 2017","1,730","1,950","1,950","1,600","1.49K","-11.24%"
"Oct 06, 2017","1,949","1,949","1,949","1,949","0.31K","-0.05%"
"Oct 04, 2017","1,950","1,950","1,950","1,950","0.95K","0.00%"
"Oct 03, 2017","1,950","1,900","1,950","1,900","0.16K","14.71%"
"Oct 02, 2017","1,700","1,700","1,700","1,700","0.16K","19.72%"
"Sep 29, 2017","1,420","1,430","1,430","1,420","1.10K","1.43%"
"Sep 27, 2017","1,400","1,400","1,400","1,400","4.00K","-12.50%"
"Sep 22, 2017","1,600","1,600","1,600","1,600","6.00K","-8.57%"
"Sep 21, 2017","1,750","1,750","1,750","1,750","2.92K","0.00%"
"Sep 20, 2017","1,750","1,751","1,751","1,750","3.12K","-10.03%"
"Sep 19, 2017","1,945","1,950","1,950","1,945","1.00K","5.14%"
"Sep 18, 2017","1,850","1,850","1,850","1,850","6.17K","2.78%"
"Sep 15, 2017","1,800","1,800","1,800","1,800","0.60K","-1.64%"
"Sep 14, 2017","1,830","1,830","1,830","1,830","0.50K","1.72%"
