Date,Price,Open,High,Low,Vol.,Change %
2016-10-27,510,510,510,510,0.40K,0.00%
2016-10-26,510,510,510,510,0.16K,2.00%
2016-10-25,500,480,500,480,0.60K,6.38%
2016-10-24,470,470,470,470,0.71K,0.00%
2016-10-21,470,470,470,470,0.05K,0.86%
2016-10-20,466,450,466,450,0.38K,5.91%
2016-10-19,440,410,440,410,1.00K,8.64%
2016-10-18,405,400,405,400,0.70K,3.85%
2016-10-17,390,390,390,390,3.19K,8.33%
2016-10-13,360,345,360,345,2.71K,2.86%
2016-10-11,350,350,0,0,1.00K,0.00%
2016-10-07,350,345,350,345,0.13K,5.11%
2016-10-05,333,333,333,333,0.30K,-3.48%
2016-09-30,345,345,345,345,0.06K,1.47%
2016-09-29,340,340,340,340,0.04K,3.03%
2016-09-27,330,320,330,320,1.70K,0.00%
2016-09-26,330,325,330,325,1.04K,-2.94%
2016-09-22,340,340,340,340,0.10K,3.03%
2016-09-21,330,330,330,330,0.30K,0.00%
2016-09-20,330,330,330,330,3.01K,0.00%
2016-09-16,330,320,330,320,0.31K,10.00%
2016-09-15,300,288,300,288,0.27K,20.00%
2016-09-12,250,250,250,250,-,4.17%
2016-09-01,240,240,240,240,-,0.00%
2016-08-26,240,240,240,240,4.24K,0.00%
2016-08-25,240,240,240,240,2.94K,0.00%
2016-08-24,240,240,240,240,1.88K,0.00%
2016-08-23,240,240,240,240,0.08K,-7.69%
2016-08-19,260,260,260,260,0.08K,1.96%
2016-08-04,255,255,255,255,-,-12.07%
2016-08-02,290,290,290,290,0.56K,0.00%
2016-08-01,290,290,290,290,4.95K,3.57%
2016-07-29,280,260,280,260,0.11K,12.00%
2016-07-28,250,250,290,250,1.39K,0.00%
2016-07-27,250,250,250,250,0.04K,-16.67%
2016-07-20,300,290,300,290,0.07K,7.14%
2016-07-14,280,280,280,280,0.05K,1.82%
2016-07-13,275,290,300,275,0.34K,-1.79%
2016-07-12,280,290,290,290,0.03K,0.00%
2016-07-08,280,265,280,265,3.38K,5.66%
2016-07-06,265,265,265,265,0.01K,0.00%
2016-07-01,265,270,270,265,0.17K,-5.36%
2016-06-28,280,280,280,280,0.95K,0.00%
2016-06-21,280,282,282,280,4.06K,-6.67%
2016-06-16,300,300,300,300,0.04K,0.00%
2016-06-15,300,301,301,300,0.30K,-11.76%
2016-06-13,340,340,340,340,1.00K,-5.56%
2016-06-10,360,360,360,360,0.20K,0.00%
2016-06-09,360,301,360,301,2.77K,20.00%
2016-06-08,300,300,300,300,0.04K,0.00%
2016-06-07,300,300,300,300,-,-11.76%
2016-06-01,340,340,340,340,0.03K,7.94%
2016-05-31,315,315,315,315,3.13K,-5.41%
2016-05-27,333,333,333,333,1.94K,0.00%
2016-05-25,333,333,333,333,-,0.00%
2016-05-24,333,333,333,333,1.98K,0.00%
2016-05-23,333,333,333,333,1.50K,0.00%
2016-05-20,333,333,345,333,2.74K,0.00%
2016-05-18,333,333,333,333,-,0.29%
2016-05-10,332,415,415,332,3.17K,-19.99%
2016-05-06,415,370,418,370,3.73K,18.91%
2016-05-03,349,349,349,349,0.03K,-5.68%
2016-05-02,370,380,380,340,0.12K,0.00%
2016-04-15,370,370,370,370,0.06K,2.78%
2016-04-14,360,360,360,360,1.00K,0.00%
2016-04-13,360,350,360,350,0.10K,20.00%
2016-04-07,300,300,300,300,0.05K,0.00%
2016-04-06,300,300,300,300,0.02K,0.00%
2016-04-01,300,280,280,280,0.02K,0.00%
2016-03-30,300,300,300,300,0.08K,7.14%
2016-03-21,280,280,280,280,0.06K,-12.50%
2016-03-18,320,320,320,320,0.04K,0.00%
2016-03-15,320,320,320,320,0.74K,-8.57%
2016-03-14,350,300,350,300,0.08K,0.00%
2016-03-11,350,300,300,300,0.35K,20.69%
2016-03-09,290,290,310,290,1.83K,-3.33%
2016-03-08,300,320,320,300,1.03K,-14.29%
2016-03-07,350,350,350,350,0.03K,0.00%
2016-03-04,350,350,350,350,0.20K,0.00%
2016-03-03,350,351,351,350,2.72K,-17.45%
2016-03-02,424,400,400,400,0.02K,0.00%
2016-03-01,424,400,400,400,0.02K,0.00%
2016-02-29,424,409,409,409,0.01K,0.00%
2016-02-25,424,409,424,409,3.81K,-0.93%
2016-02-24,428,414,428,414,2.09K,7.00%
2016-02-22,400,400,400,400,-,-6.76%
2016-02-19,429,419,429,419,8.72K,3.62%
2016-02-18,414,399,414,399,3.31K,1.22%
2016-02-16,409,409,409,409,5.04K,-2.15%
2016-02-15,418,419,419,419,0.00K,-0.24%
2016-02-12,419,419,419,419,0.04K,4.75%
2016-02-02,400,400,400,400,3.00K,0.25%
2016-01-29,399,399,400,399,6.02K,0.25%
2016-01-28,398,398,398,398,1.20K,13.39%
2016-01-26,351,351,351,351,0.01K,1.74%
2016-01-20,345,398,398,345,0.31K,-13.75%
2016-01-18,400,400,400,400,0.02K,0.00%
2016-01-13,400,400,400,400,0.03K,0.50%
2016-01-12,398,350,398,350,2.85K,-0.50%
2016-01-07,400,398,398,398,0.01K,0.00%
2015-12-30,400,400,400,400,0.03K,0.00%
2015-12-21,400,400,400,400,0.01K,0.00%
2015-12-18,400,400,400,400,0.04K,6.67%
2015-12-15,375,375,375,375,0.04K,0.00%
2015-12-14,375,375,375,375,0.06K,-5.78%
2015-12-11,398,400,400,398,0.07K,-0.50%
2015-12-10,400,400,400,400,0.01K,0.00%
2015-12-02,400,400,400,400,0.48K,1.01%
2015-11-26,396,396,396,396,-,13.14%
2015-11-25,350,350,350,350,-,-11.62%
2015-11-13,396,396,396,396,0.01K,20.00%
2015-11-11,330,330,330,330,-,0.00%
2015-11-05,330,325,330,325,0.79K,1.54%
2015-11-02,325,325,325,325,0.01K,4.17%
2015-10-29,312,312,312,312,0.09K,-10.86%
2015-10-28,350,320,350,320,2.26K,0.00%
2015-10-20,350,350,350,350,1.50K,-10.26%
2015-10-09,390,390,390,390,0.03K,0.00%
2015-10-08,390,390,390,390,0.01K,-2.50%
2015-10-02,400,400,400,400,0.25K,-1.23%
2015-09-24,405,405,405,405,0.09K,1.25%
2015-09-18,400,400,400,400,0.17K,-18.37%
2015-09-02,490,490,490,490,0.05K,8.89%
2015-08-27,450,450,450,450,-,-8.16%
2015-08-21,490,490,490,490,0.05K,-1.80%
2015-08-12,499,499,499,499,-,-0.20%
2015-08-06,500,500,500,500,0.18K,0.00%
2015-08-04,500,500,500,500,0.29K,0.00%
2015-08-03,500,500,500,500,0.10K,0.00%
2015-07-31,500,500,500,500,0.04K,19.05%
2015-07-30,420,420,420,420,0.90K,0.00%
2015-07-27,420,360,420,360,0.02K,40.00%
2015-07-17,300,300,300,300,1.00K,0.00%
2015-07-15,300,300,300,300,0.30K,7.14%
2015-07-09,280,240,280,240,5.36K,16.67%
2015-07-08,240,240,240,240,5.00K,20.00%
2015-07-07,200,200,200,200,0.38K,9.89%
2015-06-15,182,174,182,174,1.75K,1.11%
2015-06-12,180,180,180,180,-,3.45%
2015-06-11,174,174,174,174,4.17K,0.00%
2015-06-01,174,174,174,174,4.30K,16.00%
2015-05-29,150,150,150,150,0.33K,0.00%
2015-05-27,150,145,150,145,1.10K,3.45%
2015-05-26,145,150,150,145,2.26K,9.85%
2015-05-25,132,132,132,132,2.00K,20.00%
2015-05-22,110,110,110,110,4.00K,14.58%
2015-05-21,96,96,96,96,4.70K,0.00%
2015-05-20,96,92,96,92,7.70K,9.09%
2015-05-15,88,86,88,86,3.29K,2.33%
2015-05-14,86,86,86,86,15.15K,2.26%
2015-05-11,84,86,86,86,0.02K,0.00%
2015-05-07,84,84,84,84,0.64K,0.00%
2015-05-06,84,84,84,84,-,0.00%
2015-04-30,84,84,84,84,2.05K,7.55%
2015-04-29,78,84,84,84,0.09K,0.00%
2015-04-27,78,84,84,84,0.02K,0.00%
2015-04-21,78,84,84,84,0.02K,0.00%
2015-04-20,78,78,78,78,0.00K,0.00%
2015-04-15,78,78,78,78,1.86K,0.00%
2015-04-09,78,78,78,78,3.65K,0.00%
2015-04-08,78,78,78,78,3.27K,0.00%
